evyear evjday evmonth evday evhour evmin evsec evmsec evla evlo evdp 
2009 1 1 1 0 0 0 341383 65.1977 -16.6805 5.39355 
2009 1 1 1 1 59 53 299399 65.0747 -16.2668 5.40332 
2009 1 1 1 3 52 50 793900 65.1216 -16.8561 1.19434 
2009 1 1 1 4 39 4 253050 65.0816 -16.2497 5.62305 
2009 1 1 1 6 40 18 129300 65.0065 -16.6909 2.60059 
2009 1 1 1 7 35 21 742499 65.1245 -16.8507 1.16992 
2009 1 1 1 7 59 20 866199 65.1086 -16.853 1.28223 
2009 1 1 1 9 8 45 611400 65.0386 -16.6956 3.96777 
2009 1 1 1 10 59 30 840199 65.0964 -16.3816 3.12793 
2009 1 1 1 11 48 11 414400 65.0813 -16.2433 5.64746 
2009 1 1 1 12 58 37 695599 65.1147 -16.8575 1.10645 
2009 1 1 1 13 26 4 93609 65.0216 -16.6834 2.78613 
2009 1 1 1 13 40 14 958600 65.0854 -16.252 6.37012 
2009 1 1 1 14 8 9 746610 65.036 -16.7703 1.97559 
2009 1 1 1 14 39 45 998899 65.2166 -16.393 3.1377 
2009 1 1 1 14 49 57 782200 65.086 -16.2343 7.49805 
2009 1 1 1 16 21 38 245699 65.0811 -16.2462 5.8623 
2009 1 1 1 18 18 32 787599 65.0853 -16.7471 5.39355 
2009 1 1 1 18 41 37 957099 64.9544 -16.6762 5.25195 
2009 1 1 1 18 42 26 242599 65.0189 -16.6762 2.38574 
2009 1 1 1 19 36 45 835900 65.1227 -16.8606 1.22363 
2009 1 1 1 19 42 21 815999 65.018 -16.6742 1.83887 
2009 1 1 1 19 47 48 798299 65.111 -16.8549 1.1748 
2009 1 1 1 19 59 37 361100 65.0806 -16.2579 5.40332 
2009 1 1 1 20 38 24 166000 65.0199 -16.6753 2.34668 
2009 1 1 1 20 43 38 345999 65.1248 -16.4022 5.19336 
2009 1 1 1 20 53 41 474299 65.1213 -16.4078 4.00684 
2009 1 1 1 20 55 7 100410 65.1218 -16.4044 4.50488 
2009 1 1 1 20 56 34 402299 65.1225 -16.3998 4.52441 
2009 1 1 1 21 11 33 308500 65.1187 -16.4084 3.57715 
2009 1 1 1 21 12 57 683300 65.1227 -16.4001 4.62207 
2009 1 1 1 21 13 15 409700 65.1247 -16.3989 4.97852 
2009 1 1 1 21 14 7 275479 65.1213 -16.4049 4.3584 
2009 1 1 1 21 31 57 403500 65.1108 -16.8557 0.911133 
2009 1 1 1 23 26 11 815599 65.1215 -16.4032 4.54395 
2009 1 1 1 23 26 49 16100 65.1217 -16.4007 4.75879 
2009 1 1 1 23 33 3 252159 65.1216 -16.4086 4.21191 
2009 1 1 1 23 33 37 587299 65.1243 -16.3992 4.6709 
2009 1 1 1 23 39 58 39200 65.1216 -16.3969 4.9248 
2009 1 1 1 23 40 16 908200 65.1226 -16.3931 5.20801 
2009 1 1 1 23 49 13 10500 65.123 -16.4014 4.86621 
